source,target,video_id,channel_id,created_utc,comment_id
f29a4195d8dafcc8,ca9b31c57d848855,0IXLQySU0f8,UCIRAYFbJmrP--jyrC9MAIWQ,2026-04-05 14:17:52+00:00,UgwgRSSh9YDix2ZmNYR4AaABAg.AVBxISE90F9AVDhKvRYg7L
f0bbd60d2474b31e,7d099c1bd30ce99a,OamsdzEojDc,UCeY0bbntWzzVIaj2z3QigXg,2026-03-18 07:32:16+00:00,UgwgZWO2a2VZa4Tuz1p4AaABAg.AUEn8AWhvkBAUUcbUEL93A
8c567c76e2f0d619,192c2df264ccb3b5,Gk6xm5IuY4w,UCWJOjGOpN8oSVr_OoJLzk9g,2026-05-13 18:46:26+00:00,Ugwh5YaKYS0IZOzkoLB4AaABAg.AWl0OE2AXP7AWl1HFUskJO
25f8a8eb4bc6a579,517b82cf9cf00c62,xd9boh45qC4,UC8p1vwvWtl6T73JiExfWs1g,2026-03-01 20:51:51+00:00,UgwhUroq3hDu0qHLYeJ4AaABAg.ATpGQA10Eo0ATpHb1mxgX8
a9af626ac1862478,661c93296b7cfed7,SLjtrGi2DIc,UCw8Fc5R0Q5yyS3KrDCPM3xg,2026-03-13 22:17:41+00:00,Ugwilrd0BzzuJ1sWeJF4AaABAg.AUJ8yfog4YzAUJKy5IRIOn
143dfdb953226732,12e83bcdfce903c4,U-I0nbysAuQ,UCknLrEdhRCp1aegoMqRaCZg,2026-03-01 13:14:27+00:00,UgwjDr_pZBR6nhpOU094AaABAg.AToJ0TLoIdtAToTFoQwO5h
1cf61a1e96913bb0,6a6cba3e9f6ca14c,RBywScS5-Ao,UCQfwfsi5VrQ8yKZ-UWmAEFg,2026-05-13 14:08:28+00:00,Ugwm3JNRlU2xEkrGCkF4AaABAg.AWhVfm1b8KXAWkXTL8S8kp
49e71fae7f955723,1e8568aeac3ea31a,05kNCpqs_ZI,UCIHdDJ0tjn_3j-FS7s_X1kQ,2026-04-03 01:36:29+00:00,UgwmM0BS2CyFCGYVBfR4AaABAg.AV6dNbE0dJEAV7BbimgQjb
1bf254c5e7c67ce5,34d482d4151ca68b,ZxevsU8I3Mw,UC7fWeaHhqgM4Ry-RMpM2YYw,2026-03-06 09:12:24+00:00,Ugwo63jrHlDJveAnSSl4AaABAg.ATze5N2t6aqAU-uXTOOtoL
adef8142e05c3392,34d482d4151ca68b,ZxevsU8I3Mw,UC7fWeaHhqgM4Ry-RMpM2YYw,2026-03-07 09:17:11+00:00,Ugwo63jrHlDJveAnSSl4AaABAg.ATze5N2t6aqAU2UsKb-9su
14d2d365f51279ae,225c75a01777fa52,ezDnI0MyNK4,UC1VBOObpFMoqduxFdzJrnvA,2026-05-10 13:15:09+00:00,UgwoC1B76mM1vYBp29V4AaABAg.AWUZs47SNmnAWchzCLEmt6
3a1f8ff36f0590be,30d32dc153111402,ICBjPCfOTn4,UC-uhvujip5deVcEtLxnW8qg,2026-05-13 17:26:11+00:00,UgwoeDgUhBJ7l8cPKSl4AaABAg.AWke-xNXn4iAWkt5TGKEgX
c161d70b8dadd81a,98eb2331b2bd5a28,ddzF6ZQ6qC0,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-03-18 01:47:19+00:00,Ugwp0FUVO0MO9PZBrgB4AaABAg.AUOj0M8oV0dAUU082qfYoo
60211a25b97789d5,688769881f51a6f3,ddzF6ZQ6qC0,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-03-16 06:57:08+00:00,UgwqL8FeC7UEGAL8uR14AaABAg.AUEuLYjcgj3AUPQ-PWyRH8
0bc0f44d583234c3,5a5299645446926f,UiIan-aa4Hw,UCHZA_aJuGa4jEoJs6KW-_pw,2026-05-11 17:00:59+00:00,UgwszlnXovMGbF5RVkp4AaABAg.AWOkmYhO-KpAWfgcAJ4PU_
c8ce029063396036,ac23bd3f4e9e689e,goU1JsRbJ84,UCeQ8yzZhjJ7svzXBqYzmyMA,2026-05-14 11:01:47+00:00,UgwuACguzHVqtvzSOfd4AaABAg.AWiLDUDWRxZAWmlu-xz54s
